,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN
0,1996-97,A.C. Green,920,DAL,83,30.1
1,1996-97,Aaron McKie,243,DET,83,19.6
2,1996-97,Aaron Williams,1425,VAN,33,17.0
3,1996-97,Acie Earl,768,MIL,47,10.6
4,1996-97,Adam Keefe,228,UTA,62,14.8
5,1996-97,Adrian Caldwell,154,PHI,45,12.7
6,1996-97,Alan Henderson,673,ATL,30,16.6
7,1996-97,Aleksandar Djordjevic,1059,POR,8,7.8
8,1996-97,Allan Houston,275,NYK,81,33.1
9,1996-97,Allen Iverson,947,PHI,76,40.0
10,1996-97,Alonzo Mourning,297,MIA,66,35.2
11,1996-97,Alton Lister,175,BOS,53,9.7
12,1996-97,Amal McCaskill,1043,ORL,17,6.4
13,1996-97,Andrew DeClercq,692,GSW,71,15.0
14,1996-97,Andrew Lang,457,MIL,52,23.0
15,1996-97,Anfernee Hardaway,358,ORL,59,37.7
16,1996-97,Anthony Goldwire,924,DEN,60,19.9
17,1996-97,Anthony Mason,193,CHH,73,43.0
18,1996-97,Anthony Miller,292,ATL,1,13.7
19,1996-97,Anthony Peeler,324,VAN,72,31.8
20,1996-97,Antoine Carr,156,UTA,82,17.8
21,1996-97,Antoine Walker,952,BOS,82,36.2
22,1996-97,Antonio Davis,213,IND,82,28.5
23,1996-97,Antonio Harvey,176,SEA,6,4.4
24,1996-97,Antonio Lang,226,CLE,64,13.2
25,1996-97,Antonio McDyess,686,DEN,74,34.7
26,1996-97,Armen Gilliam,288,MIL,80,25.7
27,1996-97,Arvydas Sabonis,717,POR,69,25.5
28,1996-97,Ashraf Amaya,732,WAS,31,4.7
29,1996-97,Avery Johnson,422,SAS,76,32.5
30,1996-97,B.J. Armstrong,769,GSW,49,20.8
31,1996-97,Ben Davis,989,PHX,20,4.9
32,1996-97,Ben Wallace,1112,WAS,34,5.7
33,1996-97,Benoit Benjamin,104,TOR,4,10.8
34,1996-97,Bill Wennington,82,CHI,61,12.8
35,1996-97,Billy Owens,182,SAC,66,30.2
36,1996-97,Bimbo Coles,902,GSW,51,23.2
37,1996-97,Bison Dele,183,CHI,9,15.3
38,1996-97,Blue Edwards,898,VAN,61,23.5
39,1996-97,Bo Outlaw,448,LAC,82,26.8
40,1996-97,Bob Sura,682,CLE,82,27.7
41,1996-97,Bobby Hurley,310,SAC,49,12.8
42,1996-97,Bobby Phills,184,CLE,69,34.5
