,SEASON,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,GP,MIN,HEIGHT,POSITION,HEIGHT_CM,POSITION_SIMPLE,Lv1,Lv2,Lv1_and_Lv2
0,1996-97,A.C. Green,920,DAL,83,30.1,6-9,Forward,205.7,F,True,True,True
1,1996-97,Aaron McKie,243,DET,83,19.6,6-5,Guard,195.6,G,True,False,False
2,1996-97,Aaron Williams,1425,VAN,33,17.0,6-9,Center-Forward,205.7,F,False,False,False
3,1996-97,Acie Earl,768,MIL,47,10.6,6-11,Forward-Center,210.8,F,True,False,False
4,1996-97,Adam Keefe,228,UTA,62,14.8,6-9,Forward,205.7,F,True,False,False
5,1996-97,Adrian Caldwell,154,PHI,45,12.7,6-8,Forward,203.2,F,True,False,False
6,1996-97,Alan Henderson,673,ATL,30,16.6,6-9,Forward-Center,205.7,F,False,False,False
7,1996-97,Aleksandar Djordjevic,1059,POR,8,7.8,6-2,Guard,188.0,G,False,False,False
8,1996-97,Allan Houston,275,NYK,81,33.1,6-6,Guard,198.1,G,True,True,True
9,1996-97,Allen Iverson,947,PHI,76,40.0,6-0,Guard,182.9,G,True,True,True
10,1996-97,Alonzo Mourning,297,MIA,66,35.2,6-10,Center,208.3,C,True,True,True
11,1996-97,Alton Lister,175,BOS,53,9.7,7-0,Center-Forward,213.4,F,True,False,False
12,1996-97,Amal McCaskill,1043,ORL,17,6.4,6-11,Center,210.8,C,False,False,False
13,1996-97,Andrew DeClercq,692,GSW,71,15.0,6-10,Center,208.3,C,True,False,False
14,1996-97,Andrew Lang,457,MIL,52,23.0,6-11,Center,210.8,C,True,True,True
15,1996-97,Anfernee Hardaway,358,ORL,59,37.7,6-7,Forward,200.7,F,True,True,True
16,1996-97,Anthony Goldwire,924,DEN,60,19.9,6-2,Guard,188.0,G,True,False,False
17,1996-97,Anthony Mason,193,CHH,73,43.0,6-8,Forward,203.2,F,True,True,True
18,1996-97,Anthony Miller,292,ATL,1,13.7,6-9,Forward,205.7,F,False,False,False
19,1996-97,Anthony Peeler,324,VAN,72,31.8,6-4,Guard,193.0,G,True,True,True
20,1996-97,Antoine Carr,156,UTA,82,17.8,6-9,Forward,205.7,F,True,False,False
21,1996-97,Antoine Walker,952,BOS,82,36.2,6-9,Forward,205.7,F,True,True,True
22,1996-97,Antonio Davis,213,IND,82,28.5,6-9,Forward-Center,205.7,F,True,True,True
23,1996-97,Antonio Harvey,176,SEA,6,4.4,6-11,Forward-Center,210.8,F,False,False,False
24,1996-97,Antonio Lang,226,CLE,64,13.2,6-8,Forward,203.2,F,True,False,False
25,1996-97,Antonio McDyess,686,DEN,74,34.7,6-9,Forward-Center,205.7,F,True,True,True
26,1996-97,Armen Gilliam,288,MIL,80,25.7,6-9,Forward,205.7,F,True,True,True
27,1996-97,Arvydas Sabonis,717,POR,69,25.5,7-3,Center,221.0,C,True,True,True
28,1996-97,Ashraf Amaya,732,WAS,31,4.7,6-8,Forward,203.2,F,False,False,False
29,1996-97,Avery Johnson,422,SAS,76,32.5,5-11,Guard,180.3,G,True,True,True
30,1996-97,B.J. Armstrong,769,GSW,49,20.8,6-2,Guard,188.0,G,True,True,True
31,1996-97,Ben Davis,989,PHX,20,4.9,6-9,Forward,205.7,F,False,False,False
32,1996-97,Ben Wallace,1112,WAS,34,5.7,6-9,Forward-Center,205.7,F,False,False,False
33,1996-97,Benoit Benjamin,104,TOR,4,10.8,7-0,Center,213.4,C,False,False,False
34,1996-97,Bill Wennington,82,CHI,61,12.8,7-0,Center,213.4,C,True,False,False
35,1996-97,Billy Owens,182,SAC,66,30.2,6-9,Forward-Guard,205.7,G,True,True,True
36,1996-97,Bimbo Coles,902,GSW,51,23.2,6-2,Guard,188.0,G,True,True,True
37,1996-97,Bison Dele,183,CHI,9,15.3,6-11,Center-Forward,210.8,F,False,False,False
