Year,Team,Valuation,CPI,RealValuation,LogValuation
2025,Atlanta Hawks,3800000000.0,322.3,3800000000.0,22.058266903678753
2024,Atlanta Hawks,3330000000.0,313.7,3421291042.397195,21.953283814563523
2023,Atlanta Hawks,1975000000.0,304.7,2089079422.3826718,21.459989338129226
2022,Atlanta Hawks,1680000000.0,292.7,1849894089.5114453,21.338394225485132
2021,Atlanta Hawks,1520000000.0,271.0,1807734317.3431735,21.315340139746286
2020,Atlanta Hawks,1520000000.0,258.8,1892952086.553323,21.361403397999243
2019,Atlanta Hawks,1300000000.0,255.7,1638599921.78334,21.217108007938155
2018,Atlanta Hawks,1150000000.0,251.1,1476085225.0099564,21.112659301979424
2017,Atlanta Hawks,885000000.0,245.1,1163751529.9877603,20.874914701259527
2016,Atlanta Hawks,825000000.0,240.0,1107906250.0,20.825737809778357
2015,Atlanta Hawks,825000000.0,237.0,1121930379.7468355,20.838316591985215
2014,Atlanta Hawks,420000000.0,236.7,571888466.4131813,20.164454541543144
2013,Atlanta Hawks,316000000.0,233.0,437110729.61373395,19.895697106806878
2012,Atlanta Hawks,270000000.0,229.6,379011324.0418119,19.75307664133863
2011,Atlanta Hawks,295000000.0,224.9,422759004.00177854,19.862312844160215
2025,Boston Celtics,6000000000.0,322.3,6000000000.0,22.515025306174465
2024,Boston Celtics,4700000000.0,313.7,4828849218.999043,22.297874019287185
2023,Boston Celtics,4000000000.0,304.7,4231046931.407943,22.165715300896032
2022,Boston Celtics,3550000000.0,292.7,3909002391.527161,22.08654803555729
2021,Boston Celtics,3600000000.0,271.0,4281476014.7601476,22.177563650350166
2020,Boston Celtics,3100000000.0,258.8,3860625965.9969087,22.07409517463216
2019,Boston Celtics,2800000000.0,255.7,3529292139.225655,21.98436316065182
2018,Boston Celtics,2500000000.0,251.1,3208880923.9346876,21.88918809147842
2017,Boston Celtics,2200000000.0,245.1,2892941656.4667487,21.785539695598008
2016,Boston Celtics,2100000000.0,240.0,2820125000.0,21.76004704715519
2015,Boston Celtics,1700000000.0,237.0,2311856540.0843883,21.56131673569484
2014,Boston Celtics,875000000.0,236.7,1191434305.027461,20.89842371662334
2013,Boston Celtics,730000000.0,233.0,1009781115.8798283,20.7329994273624
2012,Boston Celtics,482000000.0,229.6,676605400.6968641,20.332598796390855
2011,Boston Celtics,452000000.0,224.9,647752779.0128946,20.289019667652628
2025,Brooklyn Nets,4800000000.0,322.3,4800000000.0,22.291881754860256
2024,Brooklyn Nets,3850000000.0,313.7,3955546700.6694293,22.098384658870863
2023,Brooklyn Nets,3500000000.0,304.7,3702166064.98195,22.03218390827151
2022,Brooklyn Nets,3200000000.0,292.7,3523607789.54561,21.982751241875643
2021,Brooklyn Nets,2650000000.0,271.0,3151642066.4206643,21.871189444886234
2020,Brooklyn Nets,2500000000.0,258.8,3113408037.094281,21.858983795015213
2019,Brooklyn Nets,2350000000.0,255.7,2962084473.9929605,21.80915907162673
2018,Brooklyn Nets,2300000000.0,251.1,2952170450.0199127,21.805806482539367
2017,Brooklyn Nets,1800000000.0,245.1,2366952264.381885,21.584869000135857
2016,Brooklyn Nets,1700000000.0,240.0,2282958333.3333335,21.548737953487983
2015,Brooklyn Nets,1500000000.0,237.0,2039873417.721519,21.436153592740837
2014,Brooklyn Nets,780000000.0,236.7,1062078580.4816223,20.783493749949365
2013,Brooklyn Nets,530000000.0,233.0,733128755.3648069,20.412831899766132
2012,Brooklyn Nets,357000000.0,229.6,501137195.1219513,20.032390464119896
2011,Brooklyn Nets,312000000.0,224.9,447121387.283237,19.918340675629878
2025,Charlotte Hornets,3300000000.0,322.3,3300000000.0,21.917188305418847
2024,Charlotte Hornets,3000000000.0,313.7,3082244182.339815,21.84892379923928
2023,Charlotte Hornets,1700000000.0,304.7,1798194945.8483758,21.31004919083831
2022,Charlotte Hornets,1575000000.0,292.7,1734275708.9169798,21.27385570434756
2021,Charlotte Hornets,1500000000.0,271.0,1783948339.4833949,21.302094912996267
2020,Charlotte Hornets,1500000000.0,258.8,1868044822.2565687,21.34815817124922
2019,Charlotte Hornets,1250000000.0,255.7,1575576847.868596,21.17788729478487
2018,Charlotte Hornets,1050000000.0,251.1,1347729988.052569,21.021687523773696
2017,Charlotte Hornets,780000000.0,245.1,1025679314.5654836,20.748620975935236
2016,Charlotte Hornets,750000000.0,240.0,1007187500.0000001,20.73042762997403
2015,Charlotte Hornets,725000000.0,237.0,985938818.5654008,20.70910486050521
2014,Charlotte Hornets,410000000.0,236.7,558272074.3557246,20.140356989964083
2013,Charlotte Hornets,315000000.0,233.0,435727467.81115884,19.892527532045598
2012,Charlotte Hornets,277000000.0,229.6,388837543.554007,19.778672188527594
2011,Charlotte Hornets,281000000.0,224.9,402695864.8288128,19.813692157154144
2025,Chicago Bulls,5000000000.0,322.3,5000000000.0,22.33270374938051
2024,Chicago Bulls,4600000000.0,313.7,4726107746.254383,22.27636781406622
2023,Chicago Bulls,4100000000.0,304.7,4336823104.693141,22.190407913486403
2022,Chicago Bulls,3650000000.0,292.7,4019115134.9504614,22.114327599664364
2021,Chicago Bulls,3700000000.0,271.0,4400405904.059041,22.204962624538283
2020,Chicago Bulls,3200000000.0,258.8,3985162287.48068,22.10584387294674
2019,Chicago Bulls,2900000000.0,255.7,3655338287.055143,22.01945448046309
2018,Chicago Bulls,2600000000.0,251.1,3337236160.892075,21.9284088046317
2017,Chicago Bulls,2500000000.0,245.1,3287433700.530396,21.91337306710789
2016,Chicago Bulls,2300000000.0,240.0,3088708333.3333335,21.851018825360917
2015,Chicago Bulls,2000000000.0,237.0,2719831223.628692,21.723835665192617
2014,Chicago Bulls,1000000000.0,236.7,1361639205.7456696,21.031955109247864
2013,Chicago Bulls,800000000.0,233.0,1106609442.0600858,20.824566620887893
2012,Chicago Bulls,600000000.0,229.6,842247386.7595819,20.551584337556402
2011,Chicago Bulls,511000000.0,224.9,732304579.8132503,20.4117070780241
2025,Cleveland Cavaliers,3950000000.0,322.3,3950000000.0,22.096981415859442
2024,Cleveland Cavaliers,3350000000.0,313.7,3441839336.946127,21.959271856408147
2023,Cleveland Cavaliers,2050000000.0,304.7,2168411552.3465705,21.497260732926456
2022,Cleveland Cavaliers,1650000000.0,292.7,1816860266.484455,21.32037571998245
2021,Cleveland Cavaliers,1560000000.0,271.0,1855306273.0627306,21.341315626149548
2020,Cleveland Cavaliers,1510000000.0,258.8,1880498454.4049459,21.354802713967892
2019,Cleveland Cavaliers,1275000000.0,255.7,1607088384.825968,21.19768992208105
2018,Cleveland Cavaliers,1325000000.0,251.1,1700706889.6853845,21.25430981904245
2017,Cleveland Cavaliers,1200000000.0,245.1,1577968176.25459,21.17940389202769
2016,Cleveland Cavaliers,1100000000.0,240.0,1477208333.3333335,21.113419882230136
2015,Cleveland Cavaliers,915000000.0,237.0,1244322784.8101265,20.941857270926057
2014,Cleveland Cavaliers,515000000.0,236.7,701244190.9590199,20.368366730929463
2013,Cleveland Cavaliers,434000000.0,233.0,600335622.3175966,20.21299942732037
2012,Cleveland Cavaliers,329000000.0,229.6,461832317.0731708,19.950712433105625
2011,Cleveland Cavaliers,355000000.0,224.9,508743886.1716318,20.04745527729581
2025,Dallas Mavericks,4700000000.0,322.3,4700000000.0,22.270828345662423
2024,Dallas Mavericks,4500000000.0,313.7,4623366273.509723,22.254388907347444
2023,Dallas Mavericks,3300000000.0,304.7,3490613718.411553,21.973343408248574
2022,Dallas Mavericks,2700000000.0,292.7,2973044072.429108,21.812852205080247
2021,Dallas Mavericks,2450000000.0,271.0,2913782287.8228784,21.792717829444737
2020,Dallas Mavericks,2400000000.0,258.8,2988871715.61051,21.81816180049496
2019,Dallas Mavericks,2250000000.0,255.7,2836038326.163473,21.765673959686993
2018,Dallas Mavericks,1900000000.0,251.1,2438749502.1903625,21.61475124577666
2017,Dallas Mavericks,1450000000.0,245.1,1906711546.3076298,21.36864589166622
2016,Dallas Mavericks,1400000000.0,240.0,1880083333.3333335,21.354581939047026
2015,Dallas Mavericks,1150000000.0,237.0,1563902953.586498,21.170450427007832
2014,Dallas Mavericks,765000000.0,236.7,1041653992.3954372,20.764075664092264
2013,Dallas Mavericks,685000000.0,233.0,947534334.7639486,20.669373731482192
2012,Dallas Mavericks,497000000.0,229.6,697661585.3658538,20.363244708436884
2011,Dallas Mavericks,438000000.0,224.9,627689639.8399289,20.257556398196844
2025,Denver Nuggets,3900000000.0,322.3,3900000000.0,22.08424239008201
2024,Denver Nuggets,3380000000.0,313.7,3472661778.769525,21.9681872200661
2023,Denver Nuggets,1930000000.0,304.7,2041480144.4043324,21.436940942692935
2022,Denver Nuggets,1730000000.0,292.7,1904950461.2230954,21.36772184057965
2021,Denver Nuggets,1650000000.0,271.0,1962343173.4317343,21.397405092800593
2020,Denver Nuggets,1600000000.0,258.8,1992581143.74034,21.412696692386792
2019,Denver Nuggets,1375000000.0,255.7,1733134532.6554556,21.273197474589196
2018,Denver Nuggets,1125000000.0,251.1,1443996415.7706094,21.090680395260648
2017,Denver Nuggets,890000000.0,245.1,1170326397.388821,20.880548518977786
2016,Denver Nuggets,855000000.0,240.0,1148193750.0,20.861455892380434
2015,Denver Nuggets,855000000.0,237.0,1162727848.101266,20.874034674587296
2014,Denver Nuggets,495000000.0,236.7,674011406.8441064,20.328757592834418
2013,Denver Nuggets,427000000.0,233.0,590652789.6995708,20.19673890644859
2012,Denver Nuggets,316000000.0,229.6,443583623.6933798,19.910396895927168
2011,Denver Nuggets,316000000.0,224.9,452853712.7612272,19.93107970140731
2025,Detroit Pistons,3400000000.0,322.3,3400000000.0,21.947041268568526
2024,Detroit Pistons,3080000000.0,313.7,3164437360.5355434,21.875241107556654
2023,Detroit Pistons,1900000000.0,304.7,2009747292.418773,21.421274825948537
2022,Detroit Pistons,1580000000.0,292.7,1739781346.0881448,21.277025279108837
2021,Detroit Pistons,1450000000.0,271.0,1724483394.8339484,21.268193361320584
2020,Detroit Pistons,1450000000.0,258.8,1805776661.5146832,21.31425661957354
2019,Detroit Pistons,1270000000.0,255.7,1600786077.4344935,21.19376064394116
2018,Detroit Pistons,1100000000.0,251.1,1411907606.5312626,21.06820753940859
2017,Detroit Pistons,900000000.0,245.1,1183476132.1909425,20.89172181957591
2016,Detroit Pistons,850000000.0,240.0,1141479166.6666667,20.855590772928036
2015,Detroit Pistons,810000000.0,237.0,1101531645.5696204,20.81996745331702
2014,Detroit Pistons,450000000.0,236.7,612737642.5855514,20.233447413030092
2013,Detroit Pistons,400000000.0,233.0,553304721.0300429,20.13141944032795
2012,Detroit Pistons,332000000.0,229.6,466043554.0069687,19.959789651256745
2011,Detroit Pistons,360000000.0,224.9,515909293.01911956,20.061441519270552
2025,Golden State Warriors,8800000000.0,322.3,8800000000.0,22.89801755843057
2024,Golden State Warriors,7700000000.0,313.7,7911093401.338859,22.79153183943081
2023,Golden State Warriors,7000000000.0,304.7,7404332129.9639,22.725331088831453
2022,Golden State Warriors,5600000000.0,292.7,6166313631.704817,22.542367029811068
2021,Golden State Warriors,4700000000.0,271.0,5589704797.047971,22.444192313604116
2020,Golden State Warriors,4300000000.0,258.8,5355061823.802164,22.401308085840576
2019,Golden State Warriors,3500000000.0,255.7,4411615174.032069,22.20750671196603
2018,Golden State Warriors,3100000000.0,251.1,3979012345.679013,22.104299471095366
2017,Golden State Warriors,2600000000.0,245.1,3418931048.551612,21.95259378026117
2016,Golden State Warriors,1900000000.0,240.0,2551541666.666667,21.659963588598206
2015,Golden State Warriors,1300000000.0,237.0,1767890295.35865,21.293052749100163
2014,Golden State Warriors,750000000.0,236.7,1021229404.3092523,20.744273036796084
2013,Golden State Warriors,555000000.0,233.0,767710300.4291846,20.4589230069664
