Year,Team,Valuation,LeagueAverage
2025,Atlanta Hawks,3800000000.0,4416666666.666667
2024,Atlanta Hawks,3330000000.0,3854666666.6666665
2023,Atlanta Hawks,1975000000.0,2863500000.0
2022,Atlanta Hawks,1680000000.0,2480833333.3333335
2021,Atlanta Hawks,1520000000.0,2228333333.3333335
2020,Atlanta Hawks,1520000000.0,2123000000.0
2019,Atlanta Hawks,1300000000.0,1868333333.3333333
2018,Atlanta Hawks,1150000000.0,1651500000.0
2017,Atlanta Hawks,885000000.0,1355333333.3333333
2016,Atlanta Hawks,825000000.0,1245333333.3333333
2015,Atlanta Hawks,825000000.0,1106166666.6666667
2014,Atlanta Hawks,420000000.0,634133333.3333334
2013,Atlanta Hawks,316000000.0,509100000.0
2012,Atlanta Hawks,270000000.0,392533333.3333333
2011,Atlanta Hawks,295000000.0,368766666.6666667
2025,Boston Celtics,6000000000.0,4416666666.666667
2024,Boston Celtics,4700000000.0,3854666666.6666665
2023,Boston Celtics,4000000000.0,2863500000.0
2022,Boston Celtics,3550000000.0,2480833333.3333335
2021,Boston Celtics,3600000000.0,2228333333.3333335
2020,Boston Celtics,3100000000.0,2123000000.0
2019,Boston Celtics,2800000000.0,1868333333.3333333
2018,Boston Celtics,2500000000.0,1651500000.0
2017,Boston Celtics,2200000000.0,1355333333.3333333
2016,Boston Celtics,2100000000.0,1245333333.3333333
2015,Boston Celtics,1700000000.0,1106166666.6666667
2014,Boston Celtics,875000000.0,634133333.3333334
2013,Boston Celtics,730000000.0,509100000.0
2012,Boston Celtics,482000000.0,392533333.3333333
2011,Boston Celtics,452000000.0,368766666.6666667
2025,Brooklyn Nets,4800000000.0,4416666666.666667
2024,Brooklyn Nets,3850000000.0,3854666666.6666665
2023,Brooklyn Nets,3500000000.0,2863500000.0
2022,Brooklyn Nets,3200000000.0,2480833333.3333335
2021,Brooklyn Nets,2650000000.0,2228333333.3333335
2020,Brooklyn Nets,2500000000.0,2123000000.0
2019,Brooklyn Nets,2350000000.0,1868333333.3333333
2018,Brooklyn Nets,2300000000.0,1651500000.0
2017,Brooklyn Nets,1800000000.0,1355333333.3333333
2016,Brooklyn Nets,1700000000.0,1245333333.3333333
2015,Brooklyn Nets,1500000000.0,1106166666.6666667
2014,Brooklyn Nets,780000000.0,634133333.3333334
2013,Brooklyn Nets,530000000.0,509100000.0
2012,Brooklyn Nets,357000000.0,392533333.3333333
2011,Brooklyn Nets,312000000.0,368766666.6666667
2025,Charlotte Hornets,3300000000.0,4416666666.666667
2024,Charlotte Hornets,3000000000.0,3854666666.6666665
2023,Charlotte Hornets,1700000000.0,2863500000.0
2022,Charlotte Hornets,1575000000.0,2480833333.3333335
2021,Charlotte Hornets,1500000000.0,2228333333.3333335
2020,Charlotte Hornets,1500000000.0,2123000000.0
2019,Charlotte Hornets,1250000000.0,1868333333.3333333
2018,Charlotte Hornets,1050000000.0,1651500000.0
2017,Charlotte Hornets,780000000.0,1355333333.3333333
2016,Charlotte Hornets,750000000.0,1245333333.3333333
2015,Charlotte Hornets,725000000.0,1106166666.6666667
2014,Charlotte Hornets,410000000.0,634133333.3333334
2013,Charlotte Hornets,315000000.0,509100000.0
2012,Charlotte Hornets,277000000.0,392533333.3333333
2011,Charlotte Hornets,281000000.0,368766666.6666667
2025,Chicago Bulls,5000000000.0,4416666666.666667
2024,Chicago Bulls,4600000000.0,3854666666.6666665
2023,Chicago Bulls,4100000000.0,2863500000.0
2022,Chicago Bulls,3650000000.0,2480833333.3333335
2021,Chicago Bulls,3700000000.0,2228333333.3333335
2020,Chicago Bulls,3200000000.0,2123000000.0
2019,Chicago Bulls,2900000000.0,1868333333.3333333
2018,Chicago Bulls,2600000000.0,1651500000.0
2017,Chicago Bulls,2500000000.0,1355333333.3333333
2016,Chicago Bulls,2300000000.0,1245333333.3333333
2015,Chicago Bulls,2000000000.0,1106166666.6666667
2014,Chicago Bulls,1000000000.0,634133333.3333334
2013,Chicago Bulls,800000000.0,509100000.0
2012,Chicago Bulls,600000000.0,392533333.3333333
2011,Chicago Bulls,511000000.0,368766666.6666667
2025,Cleveland Cavaliers,3950000000.0,4416666666.666667
2024,Cleveland Cavaliers,3350000000.0,3854666666.6666665
2023,Cleveland Cavaliers,2050000000.0,2863500000.0
2022,Cleveland Cavaliers,1650000000.0,2480833333.3333335
2021,Cleveland Cavaliers,1560000000.0,2228333333.3333335
2020,Cleveland Cavaliers,1510000000.0,2123000000.0
2019,Cleveland Cavaliers,1275000000.0,1868333333.3333333
2018,Cleveland Cavaliers,1325000000.0,1651500000.0
2017,Cleveland Cavaliers,1200000000.0,1355333333.3333333
2016,Cleveland Cavaliers,1100000000.0,1245333333.3333333
2015,Cleveland Cavaliers,915000000.0,1106166666.6666667
2014,Cleveland Cavaliers,515000000.0,634133333.3333334
2013,Cleveland Cavaliers,434000000.0,509100000.0
2012,Cleveland Cavaliers,329000000.0,392533333.3333333
2011,Cleveland Cavaliers,355000000.0,368766666.6666667
