Team,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
2025,"3,800,000,000","6,000,000,000","4,800,000,000","3,300,000,000","5,000,000,000","3,950,000,000","4,700,000,000","3,900,000,000","3,400,000,000","8,800,000,000","4,900,000,000","3,600,000,000","5,500,000,000","7,100,000,000","3,000,000,000","4,250,000,000","4,000,000,000","3,100,000,000","3,050,000,000","7,500,000,000","3,650,000,000","3,200,000,000","4,600,000,000","4,300,000,000","3,500,000,000","3,700,000,000","3,850,000,000","4,400,000,000","3,550,000,000","4,100,000,000"
2024,"3,330,000,000","4,700,000,000","3,850,000,000","3,000,000,000","4,600,000,000","3,350,000,000","4,500,000,000","3,380,000,000","3,080,000,000","7,700,000,000","4,400,000,000","2,900,000,000","4,650,000,000","6,400,000,000","2,400,000,000","3,900,000,000","3,200,000,000","2,500,000,000","2,550,000,000","6,600,000,000","3,050,000,000","2,950,000,000","4,300,000,000","4,000,000,000","3,080,000,000","3,330,000,000","3,250,000,000","4,100,000,000","3,090,000,000","3,500,000,000"
2023,"1,975,000,000","4,000,000,000","3,500,000,000","1,700,000,000","4,100,000,000","2,050,000,000","3,300,000,000","1,930,000,000","1,900,000,000","7,000,000,000","3,200,000,000","1,800,000,000","3,900,000,000","5,900,000,000","1,650,000,000","3,000,000,000","2,300,000,000","1,670,000,000","1,600,000,000","6,100,000,000","1,875,000,000","1,850,000,000","3,150,000,000","2,700,000,000","2,100,000,000","2,030,000,000","2,000,000,000","3,100,000,000","2,025,000,000","2,500,000,000"
2022,"1,680,000,000","3,550,000,000","3,200,000,000","1,575,000,000","3,650,000,000","1,650,000,000","2,700,000,000","1,730,000,000","1,580,000,000","5,600,000,000","2,750,000,000","1,670,000,000","3,300,000,000","5,500,000,000","1,500,000,000","2,300,000,000","1,900,000,000","1,550,000,000","1,530,000,000","5,800,000,000","1,630,000,000","1,640,000,000","2,450,000,000","1,800,000,000","2,050,000,000","2,000,000,000","1,980,000,000","2,480,000,000","1,750,000,000","1,930,000,000"
2021,"1,520,000,000","3,600,000,000","2,650,000,000","1,500,000,000","3,700,000,000","1,560,000,000","2,450,000,000","1,650,000,000","1,450,000,000","4,700,000,000","2,500,000,000","1,550,000,000","2,750,000,000","4,600,000,000","1,300,000,000","2,000,000,000","1,625,000,000","1,400,000,000","1,350,000,000","5,000,000,000","1,575,000,000","1,460,000,000","2,075,000,000","1,700,000,000","1,900,000,000","1,825,000,000","1,850,000,000","2,150,000,000","1,660,000,000","1,800,000,000"
2020,"1,520,000,000","3,100,000,000","2,500,000,000","1,500,000,000","3,200,000,000","1,510,000,000","2,400,000,000","1,600,000,000","1,450,000,000","4,300,000,000","2,475,000,000","1,525,000,000","2,600,000,000","4,400,000,000","1,300,000,000","1,950,000,000","1,580,000,000","1,375,000,000","1,350,000,000","4,600,000,000","1,575,000,000","1,430,000,000","2,000,000,000","1,625,000,000","1,850,000,000","1,775,000,000","1,800,000,000","2,100,000,000","1,550,000,000","1,750,000,000"
2019,"1,300,000,000","2,800,000,000","2,350,000,000","1,250,000,000","2,900,000,000","1,275,000,000","2,250,000,000","1,375,000,000","1,270,000,000","3,500,000,000","2,300,000,000","1,400,000,000","2,200,000,000","3,700,000,000","1,200,000,000","1,750,000,000","1,350,000,000","1,260,000,000","1,220,000,000","4,000,000,000","1,475,000,000","1,325,000,000","1,650,000,000","1,500,000,000","1,600,000,000","1,575,000,000","1,625,000,000","1,675,000,000","1,425,000,000","1,550,000,000"
2018,"1,150,000,000","2,500,000,000","2,300,000,000","1,050,000,000","2,600,000,000","1,325,000,000","1,900,000,000","1,125,000,000","1,100,000,000","3,100,000,000","2,200,000,000","1,175,000,000","2,150,000,000","3,300,000,000","1,025,000,000","1,700,000,000","1,075,000,000","1,060,000,000","1,000,000,000","3,600,000,000","1,250,000,000","1,225,000,000","1,180,000,000","1,280,000,000","1,300,000,000","1,375,000,000","1,550,000,000","1,400,000,000","1,200,000,000","1,350,000,000"
2017,"885,000,000","2,200,000,000","1,800,000,000","780,000,000","2,500,000,000","1,200,000,000","1,450,000,000","890,000,000","900,000,000","2,600,000,000","1,650,000,000","880,000,000","2,000,000,000","3,000,000,000","790,000,000","1,350,000,000","785,000,000","770,000,000","750,000,000","3,300,000,000","1,025,000,000","920,000,000","800,000,000","1,100,000,000","1,050,000,000","1,075,000,000","1,175,000,000","1,125,000,000","910,000,000","1,000,000,000"
2016,"825,000,000","2,100,000,000","1,700,000,000","750,000,000","2,300,000,000","1,100,000,000","1,400,000,000","855,000,000","850,000,000","1,900,000,000","1,500,000,000","840,000,000","2,000,000,000","2,700,000,000","780,000,000","1,300,000,000","675,000,000","720,000,000","650,000,000","3,000,000,000","950,000,000","900,000,000","700,000,000","1,000,000,000","975,000,000","925,000,000","1,150,000,000","980,000,000","875,000,000","960,000,000"
